parameter_set,key_rep,reference_index,relative_index,signature_index,sign_ns
XMSS-SHA2_16_256,PUB_R2,8,-2,6,3492834
XMSS-SHA2_16_256,PUB_R2,8,-1,7,17859166
XMSS-SHA2_16_256,PUB_R2,8,0,8,3366093
XMSS-SHA2_16_256,PUB_R2,8,1,9,3331167
XMSS-SHA2_16_256,PUB_R2,8,2,10,3496982
XMSS-SHA2_16_256,PUB_R2,8,3,11,8294093
XMSS-SHA2_16_256,PUB_R2,8,4,12,3585556
XMSS-SHA2_16_256,PUB_R2,16,-4,12,3585556
XMSS-SHA2_16_256,PUB_R2,16,-3,13,3591223
XMSS-SHA2_16_256,PUB_R2,16,-2,14,3491241
XMSS-SHA2_16_256,PUB_R2,16,-1,15,20300389
XMSS-SHA2_16_256,PUB_R2,16,0,16,20125574
XMSS-SHA2_16_256,PUB_R2,16,1,17,3463149
XMSS-SHA2_16_256,PUB_R2,16,2,18,3553296
XMSS-SHA2_16_256,PUB_R2,16,3,19,8145889
XMSS-SHA2_16_256,PUB_R2,16,4,20,3331018
XMSS-SHA2_16_256,PUB_R2,32,-4,28,3462963
XMSS-SHA2_16_256,PUB_R2,32,-3,29,3596444
XMSS-SHA2_16_256,PUB_R2,32,-2,30,3380352
XMSS-SHA2_16_256,PUB_R2,32,-1,31,20197463
XMSS-SHA2_16_256,PUB_R2,32,0,32,22701315
XMSS-SHA2_16_256,PUB_R2,32,1,33,20032111
XMSS-SHA2_16_256,PUB_R2,32,2,34,22496426
XMSS-SHA2_16_256,PUB_R2,32,3,35,8387870
XMSS-SHA2_16_256,PUB_R2,32,4,36,3494296
XMSS-SHA2_16_256,PUB_R2,64,-4,60,3458926
XMSS-SHA2_16_256,PUB_R2,64,-3,61,3492851
XMSS-SHA2_16_256,PUB_R2,64,-2,62,3530686
XMSS-SHA2_16_256,PUB_R2,64,-1,63,20104945
XMSS-SHA2_16_256,PUB_R2,64,0,64,22446000
XMSS-SHA2_16_256,PUB_R2,64,1,65,20118056
XMSS-SHA2_16_256,PUB_R2,64,2,66,22693686
XMSS-SHA2_16_256,PUB_R2,64,3,67,20032889
XMSS-SHA2_16_256,PUB_R2,64,4,68,22498260
XMSS-SHA2_16_256,PUB_R2,128,-4,124,3597666
XMSS-SHA2_16_256,PUB_R2,128,-3,125,3471741
XMSS-SHA2_16_256,PUB_R2,128,-2,126,3406018
XMSS-SHA2_16_256,PUB_R2,128,-1,127,20359444
XMSS-SHA2_16_256,PUB_R2,128,0,128,22515537
XMSS-SHA2_16_256,PUB_R2,128,1,129,20270519
XMSS-SHA2_16_256,PUB_R2,128,2,130,22631092
XMSS-SHA2_16_256,PUB_R2,128,3,131,20222537
XMSS-SHA2_16_256,PUB_R2,128,4,132,22592444
XMSS-SHA2_16_256,PUB_R2,256,-4,252,3487796
XMSS-SHA2_16_256,PUB_R2,256,-3,253,3496148
XMSS-SHA2_16_256,PUB_R2,256,-2,254,3553370
XMSS-SHA2_16_256,PUB_R2,256,-1,255,20073204
XMSS-SHA2_16_256,PUB_R2,256,0,256,22655889
XMSS-SHA2_16_256,PUB_R2,256,1,257,20131630
XMSS-SHA2_16_256,PUB_R2,256,2,258,22639129
XMSS-SHA2_16_256,PUB_R2,256,3,259,20244333
XMSS-SHA2_16_256,PUB_R2,256,4,260,22729815
XMSS-SHA2_16_256,PUB_R2,512,-4,508,3332037
XMSS-SHA2_16_256,PUB_R2,512,-3,509,3584815
XMSS-SHA2_16_256,PUB_R2,512,-2,510,3327555
XMSS-SHA2_16_256,PUB_R2,512,-1,511,20219111
XMSS-SHA2_16_256,PUB_R2,512,0,512,22670926
XMSS-SHA2_16_256,PUB_R2,512,1,513,20270704
XMSS-SHA2_16_256,PUB_R2,512,2,514,22670297
XMSS-SHA2_16_256,PUB_R2,512,3,515,20200574
XMSS-SHA2_16_256,PUB_R2,512,4,516,22516074
XMSS-SHA2_16_256,PUB_R2,1024,-4,1020,3487074
XMSS-SHA2_16_256,PUB_R2,1024,-3,1021,3598277
XMSS-SHA2_16_256,PUB_R2,1024,-2,1022,3663926
XMSS-SHA2_16_256,PUB_R2,1024,-1,1023,20245426
XMSS-SHA2_16_256,PUB_R2,1024,0,1024,22744093
XMSS-SHA2_16_256,PUB_R2,1024,1,1025,20270981
XMSS-SHA2_16_256,PUB_R2,1024,2,1026,22740926
XMSS-SHA2_16_256,PUB_R2,1024,3,1027,20256500
XMSS-SHA2_16_256,PUB_R2,1024,4,1028,22617870
XMSS-SHA2_16_256,PUB_R2,2048,-4,2044,3536778
XMSS-SHA2_16_256,PUB_R2,2048,-3,2045,3502371
XMSS-SHA2_16_256,PUB_R2,2048,-2,2046,3489463
XMSS-SHA2_16_256,PUB_R2,2048,-1,2047,20337722
XMSS-SHA2_16_256,PUB_R2,2048,0,2048,22624833
XMSS-SHA2_16_256,PUB_R2,2048,1,2049,20280426
XMSS-SHA2_16_256,PUB_R2,2048,2,2050,22631204
XMSS-SHA2_16_256,PUB_R2,2048,3,2051,20306426
XMSS-SHA2_16_256,PUB_R2,2048,4,2052,22669241
XMSS-SHA2_16_256,PUB_R2,4096,-4,4092,3559111
XMSS-SHA2_16_256,PUB_R2,4096,-3,4093,3559593
